species_ID,gen_spp,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,tribe,superfamily,subclass,wormsid_species
SP105,Centropristis striata,Centropristis striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Serraninae,Centropristis,NA,NA,NA,167687
SP106,Oreochromis mossambicus,Oreochromis mossambicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,NA,NA,NA,170015
SP107,Chelon labrosus,Chelon labrosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Mugiliformes,NA,Mugilidae,NA,Chelon,NA,NA,NA,170371
SP108,Trematomus bernacchii,Trematomus bernacchii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,NA,NA,NA,643036
SP109,Trematomus pennellii,Trematomus pennellii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,NA,NA,NA,643043
SP110,Lophius litulon,Lophius litulon,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Lophiiformes,Lophioidei,Lophiidae,NA,Lophius,NA,NA,NA,690538
SP111,Dascyllus melanurus,Dascyllus melanurus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Dascyllus,NA,NA,NA,170127
SP112,Chromis atripectoralis,Chromis atripectoralis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Chromis,NA,NA,NA,170103
SP113,Pomacentrus moluccensis,Pomacentrus moluccensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Pomacentrus,NA,NA,NA,615461
SP114,Zoramia leptacanthus,Zoramia leptacanthus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Apogoniformes,NA,Apogonidae,NA,Zoramia,NA,NA,NA,NA
SP115,Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Apogoniformes,NA,Apogonidae,Apogoninae,Cheilodipterus,NA,NA,NA,168291
SP116,Abramis brama,Abramis brama,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Leuciscinae,Abramis,NA,Cyprinoidea,NA,163666
SP117,Oreochromis esculentus,Oreochromis esculentus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,NA,NA,NA,648840
SP118,Catostomus commersonii,Catostomus commersonii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Catostominae,Catostomus,Catostomini,Cobitoidea,NA,553273
SP119,Salvelinus malma,Salvelinus malma,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,NA,NA,NA,162000
SP120,Poecilia reticulata,Poecilia reticulata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Poecilia,NA,NA,NA,165903
SP121,Gymnodraco acuticeps,Gymnodraco acuticeps,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Bathydraconidae,NA,Gymnodraco,NA,NA,NA,642589
SP122,Lates niloticus,Lates niloticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centropomidae,Latinae,Lates,NA,NA,NA,167670
SP123,Dentex dentex,Dentex dentex,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sparidae,NA,Dentex,NA,NA,NA,169224
SP124,Zoarces viviparus,Zoarces viviparus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,Zoarcidae,NA,Zoarces,NA,NA,NA,165324
SP125,Sarpa salpa,Sarpa salpa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sparidae,NA,Sarpa,NA,NA,NA,182942
SP126,Sander vitreus,Sander vitreus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Sander,NA,NA,NA,650173
SP127,Triakis semifasciata,Triakis semifasciata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Chondrichthyes,Euselachii,Carcharhiniformes,NA,Triakidae,NA,Triakis,NA,NA,Elasmobranchii,160448
SP128,Pomatomus saltatrix,Pomatomus saltatrix,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Pomatomidae,NA,Pomatomus,NA,NA,NA,168559
SP129,Forsterygion lapillum,Forsterygion lapillum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Blennioidei,Tripterygiidae,NA,Forsterygion,NA,NA,NA,638492
SP130,Mylopharodon conocephalus,Mylopharodon conocephalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Mylopharodon,NA,Cyprinoidea,NA,163587
SP131,Micropogonias undulatus,Micropogonias undulatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sciaenidae,NA,Micropogonias,NA,NA,NA,169283
SP132,Leiostomus xanthurus,Leiostomus xanthurus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sciaenidae,NA,Leiostomus,NA,NA,NA,169267
SP133,Etheostoma fonticola,Etheostoma fonticola,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Etheostoma,NA,NA,NA,168395
SP134,Amphistichus argenteus,Amphistichus argenteus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Embiotocidae,NA,Amphistichus,NA,NA,NA,169758
SP135,Ptychocheilus oregonensis,Ptychocheilus oregonensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Ptychocheilus,NA,Cyprinoidea,NA,163523
