Trait Group,Trait Name,Trait Unit,Trait Definition,Trait motivation,organization,,,,
reproduction,mating-efficiency,%,The proportion of successful copulations out of total mating attempts by a male,positive,population,,,,"Mating and swimming trials were conducted at 14, 18, 22, 26, 30, 34, and 38°C, with individual fish used for only one performance measure (mating or swimming) at one temperature. Experimental fish were exposed to an acute change in temperature at a rate that did not exceed 4°C/h. Swimming/mating performance was assessed at least 10 min (no more than 1h) after the test temperature was reached to ensure that the animals had equilibrated with the aquarium temperature. Mating behaviour of each male was assessed during a 10-min observation period. During this time, the male was in an aquarium containing six mature females. Separate groups of sex female G holbrooki with total body lengths of 3.7 -- 4.5 cm were selected for each male observation period. Groups of six were chosen to ensure that females were not stressed and no single female was continuously harassed. Only nonvirgin females that had not given birth during the previous 5 days were used, since postpartum females may affect male behaviour. Before observations, females were allowed to settle in the observation tank for 30 minutes prior to the introduction of the male fish. Males were randomly selected from host tanks. The observation period was started when the male first began to follow one of the females. During the observation period, several mating behaviours were recorded and entered into the Behavioural software program ETHOM 1.0. Recorded variables were: total time each male spent following all females combined, and the total number of unsuccessful mating attempts and successful copulations. Total # of mating attempts included both unsuccessful mating attempts and successful copulations. Burst swimming performance was assessed by filming at least five startle responses for each individual with a high-speed digital camera. Swimming responses were elicited by tapping the side of the tank. Swimming sequences were filmed by recording the image at an angle of 90° below the glass-bottomed aquarium. The Redlake software packaged was used for analysis of the startle responses. Sequences were replayed frame by frame and the centre region of the head was digitized. The distance moved by individual fish between each successive frame for each startle response sequence was determined, followed by  instantaneous measures of velocity. The fastest of the swimming sequences analysed for each individual was used as a measure of its maximum burst swimming performance. Effects of temperature on the speeds of males during copulation attempts were also examined: individual males were placed into the same filming arena with two adult females, and their mating behaviour was recorded. Distance moved by each male between each frame during mating attempts was determined. Velocity measurements were based on the digitization of the centre point of the head for each male. Maximal approach speed was calculated bu taking the maximum instantaneous speed recorded during each sequence. For these swimming trials, 10 fish were observed at each temperature (n = 70)."
reproduction,mating-rate,copulations/min; copulations/10min,The number of successful copulations performed by a male per unit time,positive,population,,,,"Mating and swimming trials were conducted at 14, 18, 22, 26, 30, 34, and 38°C, with individual fish used for only one performance measure (mating or swimming) at one temperature. Experimental fish were exposed to an acute change in temperature at a rate that did not exceed 4°C/h. Swimming/mating performance was assessed at least 10 min (no more than 1h) after the test temperature was reached to ensure that the animals had equilibrated with the aquarium temperature. Mating behaviour of each male was assessed during a 10-min observation period. During this time, the male was in an aquarium containing six mature females. Separate groups of sex female G holbrooki with total body lengths of 3.7 -- 4.5 cm were selected for each male observation period. Groups of six were chosen to ensure that females were not stressed and no single female was continuously harassed. Only nonvirgin females that had not given birth during the previous 5 days were used, since postpartum females may affect male behaviour. Before observations, females were allowed to settle in the observation tank for 30 minutes prior to the introduction of the male fish. Males were randomly selected from host tanks. The observation period was started when the male first began to follow one of the females. During the observation period, several mating behaviours were recorded and entered into the Behavioural software program ETHOM 1.0. Recorded variables were: total time each male spent following all females combined, and the total number of unsuccessful mating attempts and successful copulations. Total # of mating attempts included both unsuccessful mating attempts and successful copulations. Burst swimming performance was assessed by filming at least five startle responses for each individual with a high-speed digital camera. Swimming responses were elicited by tapping the side of the tank. Swimming sequences were filmed by recording the image at an angle of 90° below the glass-bottomed aquarium. The Redlake software packaged was used for analysis of the startle responses. Sequences were replayed frame by frame and the centre region of the head was digitized. The distance moved by individual fish between each successive frame for each startle response sequence was determined, followed by  instantaneous measures of velocity. The fastest of the swimming sequences analysed for each individual was used as a measure of its maximum burst swimming performance. Effects of temperature on the speeds of males during copulation attempts were also examined: individual males were placed into the same filming arena with two adult females, and their mating behaviour was recorded. Distance moved by each male between each frame during mating attempts was determined. Velocity measurements were based on the digitization of the centre point of the head for each male. Maximal approach speed was calculated bu taking the maximum instantaneous speed recorded during each sequence. For these swimming trials, 10 fish were observed at each temperature (n = 70)."
reproduction,development-rate,1/days,"The speed at which an embryo develops from fertilization to hatching, measured as the reciprocal of time to hatching",autonomic,population,,,,"Eggs from each cross were pooled (60–130 per pool) and incubated in Petri dishes (2–6 per temperature) with dechlorinated water and a fungicide, across temperatures from 15–36 °C (3 °C increments) under a 12L:12D cycle. Water was changed daily, with brief air exposure to trigger hatching when embryos reached stages 32–36. Dishes were checked twice daily for embryo viability and hatching. Hatched larvae were euthanized, fixed in formalin, and stored in ethanol at 4 °C for later analysis."
reproduction,gonadosomatic-index,%,The proportion of body mass comprised of gonadal tissue,autonomic,population,,,,"One month before the start of the experiments, mature females were placed in a 400 l aquarium and maintained under standard conditions (food: ad libitum and temp 30°C). The fish were not fed for two days prior to the start of the experiment and on the last day of the experiment, so that gut contents would not affect true body weights. The experiments were run for 30 days. Individual treatments in the experiment were 18, 20, 23, 25 & 27 °C. Upon termination of the experiments, the fish were sacrificed with an overdose of MS-222 (tricaine methane sulfonate) and were weighed with and without their ovaries. Ovary weight was calculated as the difference between the two weights (this method is preferable for determining the weight of small ovaries). The gonado-somatic index (GSI = gonad weight/bodyweight  100) was calculated for each fish and group averages were calculated for each treatment."
reproduction,proportion-hatched,%,The proportion of fertilized eggs that successfully hatch into larvae,autonomic,population,,,,"Eggs were incubated in 10 thermostatically controlled water baths at 10 con- stant temperatures from 6 to 24’ C (2 oC intervals). The daily deviation from the selected temperature never exceeded 0.2”C. Each bath contained live glass jars of 300 ml. Eggs were obtained from a ripe (eggs run with slight pressure) female caught in Lake Constance in May 1991 and fertilized by the dry method (cf. Craig, 1987 ) with the milt of two males. The egg strand was cut into subsamples of 76-125 eggs. Each subsample was first placed into a jar which stood in the baths of 10 or 12 oC, and then each jar was repeatedly transferred to the next bath with 2 oC higher or lower temperature at 5- 10 min. intervals until the final tem- perature was reached. Four jars in each bath were used to estimate the hatch rate. The fifth jar in each bath contained about 200 eggs, which were used to observe the embryonic development throughout the incubation period and to determine the total lengths of larvae at mass hatching (50% hatching). Water was renewed twice a day and continuous aeration was supplied by Pasteur pipettes. When over 90% of the embryos had hatched, they were counted and expressed as a percent- age of the egg number counted previously, i.e. hatch rate. The hatched larvae were transfered to a 500 ml jar to observe the swim-up stage."
reproduction,maximum-approach-to-female-speed,cm/s,Highest instantaneous swimming speed exhibited by a male during an approach toward a female during a mating attempt,positive,population,,,,"Mating and swimming trials were conducted at 14, 18, 22, 26, 30, 34, and 38°C, with individual fish used for only one performance measure (mating or swimming) at one temperature. Experimental fish were exposed to an acute change in temperature at a rate that did not exceed 4°C/h. Swimming/mating performance was assessed at least 10 min (no more than 1h) after the test temperature was reached to ensure that the animals had equilibrated with the aquarium temperature. Mating behaviour of each male was assessed during a 10-min observation period. During this time, the male was in an aquarium containing six mature females. Separate groups of sex female G holbrooki with total body lengths of 3.7 -- 4.5 cm were selected for each male observation period. Groups of six were chosen to ensure that females were not stressed and no single female was continuously harassed. Only nonvirgin females that had not given birth during the previous 5 days were used, since postpartum females may affect male behaviour. Before observations, females were allowed to settle in the observation tank for 30 minutes prior to the introduction of the male fish. Males were randomly selected from host tanks. The observation period was started when the male first began to follow one of the females. During the observation period, several mating behaviours were recorded and entered into the Behavioural software program ETHOM 1.0. Recorded variables were: total time each male spent following all females combined, and the total number of unsuccessful mating attempts and successful copulations. Total # of mating attempts included both unsuccessful mating attempts and successful copulations. Burst swimming performance was assessed by filming at least five startle responses for each individual with a high-speed digital camera. Swimming responses were elicited by tapping the side of the tank. Swimming sequences were filmed by recording the image at an angle of 90° below the glass-bottomed aquarium. The Redlake software packaged was used for analysis of the startle responses. Sequences were replayed frame by frame and the centre region of the head was digitized. The distance moved by individual fish between each successive frame for each startle response sequence was determined, followed by  instantaneous measures of velocity. The fastest of the swimming sequences analysed for each individual was used as a measure of its maximum burst swimming performance. Effects of temperature on the speeds of males during copulation attempts were also examined: individual males were placed into the same filming arena with two adult females, and their mating behaviour was recorded. Distance moved by each male between each frame during mating attempts was determined. Velocity measurements were based on the digitization of the centre point of the head for each male. Maximal approach speed was calculated bu taking the maximum instantaneous speed recorded during each sequence. For these swimming trials, 10 fish were observed at each temperature (n = 70)."
reproduction,mating-attempt-rate,attempts/10min,"The total number of copulation attempts, both successful and unsuccessful, over 10 minutes",positive,population,,,,"Mating and swimming trials were conducted at 14, 18, 22, 26, 30, 34, and 38°C, with individual fish used for only one performance measure (mating or swimming) at one temperature. Experimental fish were exposed to an acute change in temperature at a rate that did not exceed 4°C/h. Swimming/mating performance was assessed at least 10 min (no more than 1h) after the test temperature was reached to ensure that the animals had equilibrated with the aquarium temperature. Mating behaviour of each male was assessed during a 10-min observation period. During this time, the male was in an aquarium containing six mature females. Separate groups of sex female G holbrooki with total body lengths of 3.7 -- 4.5 cm were selected for each male observation period. Groups of six were chosen to ensure that females were not stressed and no single female was continuously harassed. Only nonvirgin females that had not given birth during the previous 5 days were used, since postpartum females may affect male behaviour. Before observations, females were allowed to settle in the observation tank for 30 minutes prior to the introduction of the male fish. Males were randomly selected from host tanks. The observation period was started when the male first began to follow one of the females. During the observation period, several mating behaviours were recorded and entered into the Behavioural software program ETHOM 1.0. Recorded variables were: total time each male spent following all females combined, and the total number of unsuccessful mating attempts and successful copulations. Total # of mating attempts included both unsuccessful mating attempts and successful copulations. Burst swimming performance was assessed by filming at least five startle responses for each individual with a high-speed digital camera. Swimming responses were elicited by tapping the side of the tank. Swimming sequences were filmed by recording the image at an angle of 90° below the glass-bottomed aquarium. The Redlake software packaged was used for analysis of the startle responses. Sequences were replayed frame by frame and the centre region of the head was digitized. The distance moved by individual fish between each successive frame for each startle response sequence was determined, followed by  instantaneous measures of velocity. The fastest of the swimming sequences analysed for each individual was used as a measure of its maximum burst swimming performance. Effects of temperature on the speeds of males during copulation attempts were also examined: individual males were placed into the same filming arena with two adult females, and their mating behaviour was recorded. Distance moved by each male between each frame during mating attempts was determined. Velocity measurements were based on the digitization of the centre point of the head for each male. Maximal approach speed was calculated bu taking the maximum instantaneous speed recorded during each sequence. For these swimming trials, 10 fish were observed at each temperature (n = 70)."
reproduction,swim-up-rate,%,"The proportion of newly hatched larvae that successfully rise to the water surface (swim-up stage), calculated as the number of larvae reaching the swim-up stage divided by the total number of hatched larvae",autonomic,population,,,,"Eggs were incubated in 10 thermostatically controlled water baths at 10 con- stant temperatures from 6 to 24’ C (2 oC intervals). The daily deviation from the selected temperature never exceeded 0.2”C. Each bath contained live glass jars of 300 ml. Eggs were obtained from a ripe (eggs run with slight pressure) female caught in Lake Constance in May 1991 and fertilized by the dry method (cf. Craig, 1987 ) with the milt of two males. The egg strand was cut into subsamples of 76-125 eggs. Each subsample was first placed into a jar which stood in the baths of 10 or 12 oC, and then each jar was repeatedly transferred to the next bath with 2 oC higher or lower temperature at 5- 10 min. intervals until the final tem- perature was reached. Four jars in each bath were used to estimate the hatch rate. The fifth jar in each bath contained about 200 eggs, which were used to observe the embryonic development throughout the incubation period and to determine the total lengths of larvae at mass hatching (50% hatching). Water was renewed twice a day and continuous aeration was supplied by Pasteur pipettes. When over 90% of the embryos had hatched, they were counted and expressed as a percent- age of the egg number counted previously, i.e. hatch rate. The hatched larvae were transfered to a 500 ml jar to observe the swim-up stage."
,,,,,,,,,
metabolism,relative-aerobic-scope,%,The aerobic scope (MMR – SMR) expressed as a percentage of the maximum aerobic scope observed across all temperatures and body masses,voluntary,internal,,,,"SMR  = MO₂ measured in resting fish over last 12 h of 48-h intermittent-flow respirometry; MMR = Highest MO₂ recorded immediately after exhaustive exercise (chase 5–7 min, shorter at 20 °C). The change in the metabolic scope of activity (MS) in relation to temperature in 50, 200 and 450 g Atlantic cod, described as % of the maximum MS measured."
