Trait Group,Trait Name,Trait Unit,Trait Definition,Trait motivation,organization,,,,
somatic growth,standardized-growth,%,"Growth rate adjusted to remove the effect of body size. Unlike absolute growth rate, it accounts for differences in initial weight, and unlike specific growth rate, it uses a scaling factor ( a power of body mass) to make growth comparable across individuals of different sizes (Ostrovsky, 1995).",autonomic,individual,,,,NA
somatic growth,tank-specific-growth-rate,,"Average specific growth rate of all fish within a single tank, calculated from the change in total biomass mass over time",autonomic,individual,,,,"For each species, fish were initially measured and stocked into experimental tanks at a density of three individuals/tank. The size range of fish used in the experiments was purposely restricted to focus on the effects of temperature rather than size-dependent growth. After establishment of experimental groups, temperatures were adjusted to treatment temperatures (0, 5, 9, and 16 °C) at a rate of 1.5 °C per day. Replicate tanks (n = 2) of each temperature treatment (n = 4) were assigned for each species (n = 4) to comprise a total of 32 tanks. At week 2 following the acclimation period, fish were weighed to the nearest 0.01 g (wet mass) and measured to the nearest 1 mm (SL) to establish ‘time 0’ for the growth experiment. After measurement, all fish were returned to their original tank and remeasured in the same manner at week 4 (period week 2–week 4) and again at week 6 (period week 4week 6) of the experiment to assess growth. At the end of the experiment, an additional 20 °C trial was conducted for species able to survive and maintain growth at 16 °C during the initial experiment. Fish used for the 20 °C trial were sourced from general holding tanks and had not been used in the original growth experiment. Specific growth rates based on mass of juvenile fish were determined. SGR = 100 - (e^g - 1), where g = ln(WW2) - ln(WW1)/ (t2 - t1). The same approach was used to calculate mean tank growth based on total tank biomass. Notable deviations in the two growth metrics can be an indicator of growth suppression due to social interactions within the tank."
somatic growth,weight-gained,g,"Total increase in body mass, calculated as the difference between final and initial mass",autonomic,individual,,,,"A completely randomized experimental design with one tested factor (univariate) was used in this study. The tested factor was differences in water temperature at five levels, modified from Hassanen et al. (2014), namely; 24, 26, 28, 30 and 32 °C. Each temperature treatment was conducted with three replications. During the procedure, a fish was taken randomly one at a time from the acclimatized tank and measured for initial length and weight, then stocked into 15 plastic containers (45 cm x 35 cm x 30 cm in size) with 5 L of water at a stocking density of 15 fish per container. Fish were exposed to different water temperatures for 14 days."
somatic growth,yolk-utilization-rate,mm^2/day,How fast the larva is using up its yolk to grow? (rate at which yolk reserves are consumed to support early larval growth),autonomic,internal,,,,"Daily growth and yolk utilization rate (YUR) were measured from the change in larval notochord length and yolk sac area from each hatch day to the corresponding 4 DPH divided by larval notochord length and yolk sac area on the respective hatch day (Trippel et al., 2005). Yolk utilization efficiency (YUE) was measured by dividing the increase in LN from each hatch day to the corresponding 4 DPH by the corre- sponding decrease in AY (Rideout et al., 2004)."
somatic growth,relative-growth-rate,%,"The proportional increase in body mass over a given time period, expressed as a percentage of the initial body mass per day.",autonomic,individual,,,,
,,,,,,,,,
survival,recMMR50,mins,Time required for 50% mortality to occur following a standardized maximal metabolic rate (MMR) challenge,negative,population,,,,
survival,survival,%; Number of fish,The proportion or total number of fish remaining alive at the end of the observation period,autonomic,population,,,,
,,,,,,,,,
Locomotion,activity,grids/30s,"Voluntary locomotor activity per unit time, often measured as movement over grids in video frames per unit time",voluntary,individual,,,,
Locomotion,burst-swim-speed,m/s; cm/s,The maximum short-duration swimming velocity during an escape or startle response,negative,individual,,,,
Locomotion,constant-acceleration,cm/s,The maximum velocity while swimming against a continuously increasing current until exhaustion,negative,individual,,,,
Locomotion,critical-swimming-speed,"BL/s, cm/s","The maximum sustained swimming speed under a stepwise increasing water velocity protocol, sometimes normalized by body size",negative,individual,,,,
Locomotion,max-acceleration-escape-response,m/s^2; s^2,"Highest instantaneous rate of increase in velocity achieved during a stimulus-evoked escape (C-start) response, sometimes normalized by body size",negative,individual,,,,
Locomotion,max-angular-acceleration-escape-response,°/s^2,Highest instantaneous rate of change in body orientation (turning rate) achieved during a stimulus-evoked escape (C-start) response,negative,individual,,,,
Locomotion,max-angular-velocity-escape-response,°/s; rad/s,Maximum angular velocity achieved during a stimulus-evoked escape (C-start) response,negative,individual,,,,
Locomotion,maximum-swimming-speed,FL/s; cm/s; m/s; BL/s,"Maximum instantaneous velocity fatigue or loss of position occurs, sometimes normalized by body size",negative,individual,,,,
Locomotion,optimal-swimming-speed,BL/s,The swimming speed a fish can maintain at which its energy expenditure per unit distance is minimized,positive,individual,,,,
Locomotion,pectoral-beat-frequency,Hz,The number of pectoral fin strokes per second when a fish swims at its maximum speed using primarily pectoral-fin propulsion (labriform swimming),negative,individual,,,,
Locomotion,recovery-ratio,%,The proportion of maximum swimming performance a fish recovers after a brief rest following exhaustion,autonomic,individual,,,,
Locomotion,repeat-constant-acceleration,cm/s,The maximum velocity while swimming against a continuously increasing current until exhaustion following a standardized recovery period after an initial UCAT test ,negative,individual,,,,
Locomotion,routine-swimming-speed,cm/s; BL/s,"The average swimming speed of an individual during routine, voluntary activity",voluntary,individual,,,,
Locomotion,tail-beat-frequency,Hz,The number of lateral tail oscillations per second when a fish is swimming at its maximum speed,negative,individual,,,,
Locomotion,u-gait,BL/s,"The swimming speed at which a fish transitions from steady, aerobically supported swimming to burst-and-coast (anaerobic) swimming",negative,individual,,,,
