species_ID,phylum,class,order,family,genus,species,subspecies,common_name,habitat,water,IUCN-status-global,COSEWIC-status,species_notes
SP90,,,,,Pagothenia,borchgrevinki,,,ocean,marine,,,
SP18,chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,,olive-flounder,ocean,marine,n/a,,"""commercially important for Japanese fisheries"" (Fonds et al., 1995)"
SP89,,,,,Paralichthys,dentatus,,summer flounder,"estuary, continental shelf",marine,,,
SP88,,,,,Parophrys,vetulus,,english-sole,,,,,
SP12,chordata,Actinopterygii,Perciformes,Percidae,perca,fluviatilis,,european-perch,lake,freshwater,LC,,"species in (Kontopoulos et al., 2024)"
SP78,,,,,Petromyzon,marinus,,sea lamprey,creek,freshwater,,,
SP32,chordata,Actinopterygii,Perciformes,Serranidae,plectropomus,leopardus,,common-coral-trout,reef,marine,LC,,
SP50,chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius,,Pollack,ocean,marine,,,
SP65,n/a,n/a,n/a,n/a,Pomadasys,commersonnii,,spotted grunter,,,,,
SP73,n/a,n/a,n/a,n/a,Pseudocrenilabrus,multicolor-victoriae,,Egyptian-mouth-brooder,,,,,
SP17,chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,lucius,,Colorado-pikeminnow,river,freshwater,VU,,
SP14,chordata,Actinopterygii,Perciformes,rachycentridae,rachycentron,canadum,,cobia,ocean,marine,LC,,
SP13,chordata,Actinopterygii,Cypriniformes,Cyprinidae,rutilus,rutilus,,roach,lake,freshwater,LC,,"species in (Kontopoulos et al., 2024)"
SP25,chordata,Actinopterygii,Salmoniformes,Salmonidae,salmo,trutta,,brown-trout,,,LC,,"species in (Kontopoulos et al., 2024)"
SP35,chordata,Actinopterygii,Salmoniformes,Salmonidae,salmo,salar,,atlantic-salmon,mixed,mixed,NT,,"species in (Kontopoulos et al., 2024)"
SP34,chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,willughbii,,windermere-char,,,,,"***In the paper (written in 1964), this fish is considered a subspecies (Salvelinus alpinus willughbii) but a quick search on FishBase makes me think it's now considered its own species (Salvelinus willughbii). Double check this!!!"
SP62,n/a,n/a,n/a,n/a,Salvelinus,namaycush,,lake-trout,lake,freshwater,,,
SP55,n/a,n/a,n/a,n/a,Salvelinus ,alpinus,,Arctic-char,mixed,mixed,,,
SP20,chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,,pacific-sardine,,marine,LC,,
SP47,chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax,prenanti,,ya-yu,river,freshwater,,,
SP4,chordata,Actinopterygii,Scombriformes,scombridae,scomber,japonicus,,chub-mackerel,ocean,marine,LC,,
